ASIN,Title,MainCategory,Degree,Betweenness,Closeness
A00000301,Product 301,Clothing,11,0.860118,0.195625
A00009932,Product 9932,Music,11,0.438771,0.196529
A00008088,Product 8088,Books,11,0.694339,0.201025
A00001209,Product 1209,Books,11,0.709283,0.198799
A00002945,Product 2945,Movies & TV,11,0.049253,0.199271
A00008833,Product 8833,Books,11,0.636544,0.194355
A00003100,Product 3100,Books,11,0.354808,0.198318
A00005634,Product 5634,Clothing,11,0.314325,0.199021
A00004919,Product 4919,Music,11,0.860216,0.195721
A00005888,Product 5888,Music,11,0.437987,0.200405
A00000305,Product 305,Electronics,11,0.376636,0.196544
A00008212,Product 8212,Clothing,11,0.192333,0.194597
A00006699,Product 6699,Books,11,0.296557,0.196622
A00009498,Product 9498,Books,11,0.733507,0.196486
A00004797,Product 4797,Clothing,11,0.870266,0.197839
A00001292,Product 1292,Books,11,0.568681,0.196819
A00005327,Product 5327,Electronics,11,0.976327,0.199924
A00000342,Product 342,Music,11,0.214932,0.194833
A00008324,Product 8324,Clothing,11,0.053121,0.200300
A00008488,Product 8488,Clothing,11,0.283864,0.195415
A00009570,Product 9570,Books,11,0.769221,0.194749
A00000557,Product 557,Movies & TV,11,0.930141,0.201025
A00002253,Product 2253,Music,11,0.220599,0.198228
A00000755,Product 755,Movies & TV,11,0.040677,0.197060
A00004622,Product 4622,Books,11,0.704530,0.196815
A00003716,Product 3716,Electronics,11,0.740302,0.196761
A00007138,Product 7138,Movies & TV,11,0.987572,0.195110
A00004046,Product 4046,Books,11,0.510797,0.195924
A00003152,Product 3152,Music,11,0.195615,0.193558
A00006328,Product 6328,Movies & TV,11,0.650568,0.200670
A00001987,Product 1987,Electronics,11,0.138226,0.198051
A00005911,Product 5911,Books,11,0.838580,0.197110
A00008105,Product 8105,Books,11,0.243671,0.199593
A00007388,Product 7388,Movies & TV,11,0.451208,0.197095
A00001537,Product 1537,Electronics,11,0.068029,0.191453
A00003928,Product 3928,Electronics,11,0.840426,0.197184
A00006742,Product 6742,Clothing,11,0.812230,0.198224
A00002715,Product 2715,Clothing,11,0.582728,0.195446
A00002777,Product 2777,Electronics,11,0.472466,0.197254
A00008972,Product 8972,Electronics,11,0.943132,0.199657
A00000992,Product 992,Music,11,0.539778,0.200457
A00003899,Product 3899,Electronics,11,0.204032,0.198012
A00008936,Product 8936,Movies & TV,11,0.953683,0.199438
A00000691,Product 691,Music,11,0.399290,0.196213
A00009219,Product 9219,Electronics,11,0.486961,0.197808
A00006371,Product 6371,Clothing,11,0.547991,0.199084
A00008437,Product 8437,Movies & TV,11,0.390425,0.199708
A00000407,Product 407,Movies & TV,11,0.019294,0.193636
A00008164,Product 8164,Movies & TV,11,0.008524,0.201094
A00006091,Product 6091,Clothing,10,0.786739,0.198594
A00001206,Product 1206,Books,10,0.382978,0.196336
A00008086,Product 8086,Movies & TV,10,0.826332,0.195940
A00007527,Product 7527,Music,10,0.834864,0.196351
A00002801,Product 2801,Electronics,10,0.991912,0.194280
A00000540,Product 540,Movies & TV,10,0.415380,0.195030
A00004695,Product 4695,Music,10,0.357466,0.194012
A00009003,Product 9003,Books,10,0.730369,0.193273
A00006190,Product 6190,Movies & TV,10,0.603427,0.199076
A00004218,Product 4218,Clothing,10,0.813744,0.194859
A00006412,Product 6412,Clothing,10,0.127768,0.193367
A00005995,Product 5995,Music,10,0.571086,0.194715
A00003595,Product 3595,Books,10,0.881338,0.197262
A00008837,Product 8837,Electronics,10,0.699333,0.196963
A00002546,Product 2546,Books,10,0.792894,0.197215
A00008465,Product 8465,Clothing,10,0.057308,0.198153
A00001739,Product 1739,Electronics,10,0.194813,0.197168
A00008555,Product 8555,Electronics,10,0.345990,0.193076
A00000674,Product 674,Electronics,10,0.631304,0.195049
A00004735,Product 4735,Clothing,10,0.356591,0.194280
A00001664,Product 1664,Clothing,10,0.890779,0.195453
A00001718,Product 1718,Books,10,0.334348,0.192923
A00009340,Product 9340,Clothing,10,0.698794,0.198543
A00004303,Product 4303,Books,10,0.882924,0.194310
A00001291,Product 1291,Music,10,0.661615,0.194738
A00009227,Product 9227,Clothing,10,0.880421,0.192968
A00003754,Product 3754,Movies & TV,10,0.178487,0.195817
A00008186,Product 8186,Clothing,10,0.750846,0.197617
A00004268,Product 4268,Music,10,0.002120,0.193685
A00007545,Product 7545,Movies & TV,10,0.545046,0.197742
A00009625,Product 9625,Movies & TV,10,0.568944,0.197875
A00005220,Product 5220,Clothing,10,0.906490,0.195756
A00006449,Product 6449,Books,10,0.605053,0.189314
A00005548,Product 5548,Music,10,0.388537,0.200525
A00000153,Product 153,Movies & TV,10,0.222533,0.196020
A00007493,Product 7493,Clothing,10,0.183432,0.196340
A00003147,Product 3147,Electronics,10,0.957080,0.192485
A00008145,Product 8145,Movies & TV,10,0.734505,0.191813
A00008927,Product 8927,Movies & TV,10,0.548072,0.194012
A00005025,Product 5025,Movies & TV,10,0.072097,0.188628
A00004808,Product 4808,Music,10,0.223432,0.190890
A00008937,Product 8937,Music,10,0.956474,0.198405
A00002890,Product 2890,Movies & TV,10,0.582772,0.193907
A00009532,Product 9532,Music,10,0.804633,0.195019
A00009218,Product 9218,Clothing,10,0.570720,0.197812
A00005585,Product 5585,Clothing,10,0.317161,0.196637
A00004165,Product 4165,Music,10,0.804077,0.193734
A00004036,Product 4036,Electronics,10,0.941005,0.193835
A00007029,Product 7029,Clothing,10,0.711529,0.194306
A00004334,Product 4334,Clothing,10,0.400157,0.195863
A00008807,Product 8807,Books,10,0.114869,0.197305
A00009320,Product 9320,Movies & TV,10,0.165319,0.194136
A00007935,Product 7935,Clothing,10,0.600887,0.194201
A00000614,Product 614,Music,10,0.396786,0.196873
A00004292,Product 4292,Electronics,10,0.951746,0.193798
A00007940,Product 7940,Electronics,10,0.008990,0.194265
A00007290,Product 7290,Electronics,10,0.997944,0.193865
A00009008,Product 9008,Music,10,0.159154,0.196885
A00000524,Product 524,Electronics,10,0.517294,0.190290
A00008137,Product 8137,Music,10,0.835826,0.198114
A00001195,Product 1195,Books,10,0.206716,0.196159
A00001054,Product 1054,Movies & TV,10,0.675570,0.193888
A00001269,Product 1269,Clothing,10,0.529093,0.193415
A00007908,Product 7908,Electronics,10,0.659018,0.193244
A00002536,Product 2536,Music,10,0.078806,0.200236
A00004929,Product 4929,Books,10,0.670121,0.196097
A00006718,Product 6718,Music,10,0.089763,0.191255
A00002944,Product 2944,Music,10,0.013039,0.192392
A00004974,Product 4974,Movies & TV,10,0.256537,0.196101
A00008179,Product 8179,Books,10,0.099527,0.196024
A00009391,Product 9391,Books,10,0.779649,0.199394
A00009872,Product 9872,Books,10,0.486297,0.199760
A00006688,Product 6688,Music,10,0.967446,0.193393
A00005204,Product 5204,Electronics,10,0.287948,0.196541
A00007152,Product 7152,Movies & TV,10,0.187578,0.198334
A00000303,Product 303,Music,10,0.230650,0.200815
A00008758,Product 8758,Music,10,0.646336,0.192689
A00004822,Product 4822,Clothing,10,0.613871,0.195725
A00007743,Product 7743,Movies & TV,10,0.095145,0.195240
A00009370,Product 9370,Clothing,10,0.631945,0.190537
A00002699,Product 2699,Music,10,0.793221,0.195163
A00002194,Product 2194,Clothing,10,0.139634,0.196711
A00001759,Product 1759,Books,10,0.553068,0.190711
A00005154,Product 5154,Music,10,0.019846,0.194446
A00008815,Product 8815,Music,10,0.951433,0.191717
A00007559,Product 7559,Clothing,10,0.424531,0.197882
A00001013,Product 1013,Music,10,0.241099,0.199665
A00005122,Product 5122,Clothing,10,0.119743,0.199924
A00007793,Product 7793,Movies & TV,10,0.272397,0.189954
A00008143,Product 8143,Electronics,10,0.965612,0.195713
A00006066,Product 6066,Electronics,10,0.625751,0.193633
A00001504,Product 1504,Electronics,10,0.836388,0.198527
A00002411,Product 2411,Movies & TV,10,0.786866,0.192041
A00006787,Product 6787,Electronics,10,0.290006,0.200325
A00007126,Product 7126,Clothing,10,0.660747,0.195759
A00008941,Product 8941,Books,10,0.536078,0.195541
A00001714,Product 1714,Books,10,0.760029,0.196332
A00005662,Product 5662,Movies & TV,10,0.989069,0.196074
A00006143,Product 6143,Movies & TV,10,0.838364,0.199390
A00004855,Product 4855,Movies & TV,10,0.978262,0.196510
A00000607,Product 607,Clothing,10,0.990389,0.199326
A00009074,Product 9074,Clothing,10,0.502979,0.195886
A00002316,Product 2316,Music,10,0.149563,0.193154
A00001807,Product 1807,Books,10,0.913192,0.193105
A00007164,Product 7164,Movies & TV,10,0.953641,0.197922
A00004640,Product 4640,Movies & TV,10,0.020892,0.197488
A00008649,Product 8649,Electronics,10,0.904908,0.201548
A00002244,Product 2244,Books,10,0.269121,0.193591
A00006132,Product 6132,Movies & TV,10,0.833324,0.191750
A00001450,Product 1450,Movies & TV,10,0.386306,0.193528
A00006332,Product 6332,Music,10,0.184829,0.197207
A00009418,Product 9418,Clothing,10,0.218186,0.193779
A00002996,Product 2996,Electronics,10,0.786276,0.196815
A00002299,Product 2299,Movies & TV,10,0.280434,0.196355
A00000604,Product 604,Books,10,0.771771,0.194741
A00007081,Product 7081,Music,10,0.467526,0.198614
A00008454,Product 8454,Movies & TV,10,0.125637,0.191522
A00008506,Product 8506,Clothing,10,0.384309,0.198377
A00006673,Product 6673,Movies & TV,10,0.492374,0.194442
A00009090,Product 9090,Clothing,10,0.327453,0.194291
A00004556,Product 4556,Books,10,0.697356,0.197926
A00000396,Product 396,Books,10,0.970233,0.193768
A00005908,Product 5908,Movies & TV,10,0.126857,0.196653
A00007121,Product 7121,Music,10,0.084922,0.192960
A00009912,Product 9912,Electronics,10,0.521277,0.195637
A00006230,Product 6230,Clothing,10,0.647446,0.197851
A00000988,Product 988,Electronics,10,0.817574,0.197718
A00000635,Product 635,Music,10,0.839524,0.199005
A00007272,Product 7272,Books,10,0.014831,0.196351
A00004709,Product 4709,Books,10,0.537627,0.198831
A00003166,Product 3166,Movies & TV,10,0.035077,0.194186
A00004858,Product 4858,Clothing,10,0.469627,0.196897
A00001465,Product 1465,Electronics,10,0.381156,0.198377
A00009183,Product 9183,Books,10,0.130341,0.198732
A00007038,Product 7038,Books,10,0.193055,0.190403
A00004729,Product 4729,Books,10,0.903901,0.199128
A00004196,Product 4196,Clothing,10,0.196184,0.199442
A00007251,Product 7251,Books,10,0.582295,0.196842
A00005166,Product 5166,Electronics,10,0.499428,0.195530
A00007445,Product 7445,Electronics,10,0.071868,0.194340
A00003986,Product 3986,Electronics,10,0.192803,0.192971
A00001546,Product 1546,Clothing,10,0.393470,0.190708
A00009891,Product 9891,Music,10,0.990559,0.199473
A00003921,Product 3921,Clothing,10,0.189182,0.193606
A00008637,Product 8637,Clothing,10,0.851034,0.197816
A00006520,Product 6520,Clothing,10,0.463053,0.197192
A00004351,Product 4351,Clothing,10,0.061638,0.198393
A00008020,Product 8020,Electronics,10,0.236900,0.195648
A00009721,Product 9721,Electronics,10,0.182016,0.194912
A00008746,Product 8746,Clothing,10,0.386671,0.193768
A00007189,Product 7189,Movies & TV,10,0.274862,0.193742
A00009538,Product 9538,Books,10,0.336787,0.201041
A00005170,Product 5170,Books,10,0.579791,0.200345
A00004246,Product 4246,Movies & TV,10,0.043038,0.194340
A00005284,Product 5284,Clothing,10,0.986771,0.198153
A00000213,Product 213,Books,10,0.356395,0.196533
A00005398,Product 5398,Movies & TV,10,0.123955,0.193475
A00001638,Product 1638,Electronics,10,0.111524,0.197659
A00008497,Product 8497,Movies & TV,10,0.447025,0.199688
A00002601,Product 2601,Clothing,10,0.712030,0.193318
A00006316,Product 6316,Movies & TV,10,0.985516,0.194012
A00001288,Product 1288,Clothing,10,0.560517,0.195828
A00009020,Product 9020,Clothing,10,0.658895,0.193079
A00006063,Product 6063,Music,10,0.700568,0.191721
A00001494,Product 1494,Movies & TV,10,0.249914,0.198247
A00005616,Product 5616,Books,10,0.534285,0.190298
A00001249,Product 1249,Clothing,10,0.591348,0.192834
A00002811,Product 2811,Clothing,10,0.538921,0.197980
A00001283,Product 1283,Books,10,0.499570,0.198610
A00005991,Product 5991,Music,10,0.732298,0.197149
A00006755,Product 6755,Electronics,10,0.587968,0.194616
A00008429,Product 8429,Books,10,0.533508,0.195121
A00003124,Product 3124,Music,10,0.915470,0.196568
A00004208,Product 4208,Movies & TV,10,0.118275,0.190312
A00007802,Product 7802,Music,10,0.913175,0.194065
A00008988,Product 8988,Books,10,0.653309,0.195817
A00007958,Product 7958,Movies & TV,10,0.970571,0.196259
A00001873,Product 1873,Books,10,0.685097,0.197988
A00006460,Product 6460,Music,10,0.876553,0.192266
A00009720,Product 9720,Movies & TV,10,0.836694,0.198918
A00001085,Product 1085,Books,10,0.184132,0.191912
A00006736,Product 6736,Movies & TV,10,0.917159,0.192148
A00009053,Product 9053,Books,10,0.424963,0.194163
A00005929,Product 5929,Clothing,10,0.936455,0.190744
A00002408,Product 2408,Music,10,0.746466,0.200012
A00002494,Product 2494,Movies & TV,10,0.468920,0.197211
A00002132,Product 2132,Books,10,0.053503,0.198468
A00000683,Product 683,Clothing,10,0.989169,0.194359
A00003936,Product 3936,Clothing,10,0.431454,0.197519
A00001271,Product 1271,Electronics,10,0.273566,0.194624
A00003597,Product 3597,Electronics,10,0.148584,0.194216
A00002282,Product 2282,Clothing,10,0.781690,0.194204
A00009943,Product 9943,Music,10,0.699766,0.197145
A00000406,Product 406,Movies & TV,10,0.335131,0.196571
A00007555,Product 7555,Electronics,10,0.270057,0.198649
A00009733,Product 9733,Books,10,0.564576,0.191599
A00005419,Product 5419,Movies & TV,10,0.324916,0.191566
A00008920,Product 8920,Clothing,10,0.591218,0.196486
A00002824,Product 2824,Books,10,0.755919,0.196363
A00005642,Product 5642,Clothing,10,0.646697,0.195767
A00000319,Product 319,Movies & TV,10,0.161189,0.195095
A00008999,Product 8999,Music,10,0.065849,0.191376
A00001559,Product 1559,Books,10,0.272231,0.197566
A00004590,Product 4590,Music,10,0.023425,0.195564
A00008180,Product 8180,Books,10,0.385060,0.195967
A00001422,Product 1422,Movies & TV,10,0.073630,0.192979
A00009531,Product 9531,Clothing,10,0.879807,0.196483
A00008852,Product 8852,Movies & TV,10,0.421540,0.193050
A00002212,Product 2212,Music,10,0.861091,0.195775
A00007654,Product 7654,Clothing,10,0.674847,0.196163
A00007695,Product 7695,Electronics,10,0.055351,0.195871
A00001425,Product 1425,Electronics,10,0.857952,0.193524
A00000544,Product 544,Music,10,0.626593,0.189443
A00008404,Product 8404,Movies & TV,10,0.840290,0.196321
A00005702,Product 5702,Books,10,0.533717,0.195076
A00003099,Product 3099,Books,10,0.760811,0.190016
A00000841,Product 841,Clothing,10,0.295635,0.198310
A00003554,Product 3554,Electronics,10,0.053096,0.192830
A00008004,Product 8004,Movies & TV,10,0.948060,0.198184
A00003948,Product 3948,Books,10,0.895715,0.191270
A00001419,Product 1419,Electronics,10,0.532546,0.191226
A00002877,Product 2877,Movies & TV,10,0.261289,0.194795
A00009555,Product 9555,Music,10,0.036976,0.196850
A00002215,Product 2215,Electronics,10,0.216401,0.194905
A00005147,Product 5147,Movies & TV,10,0.140974,0.201507
A00009149,Product 9149,Clothing,10,0.219655,0.190766
A00004269,Product 4269,Movies & TV,10,0.024104,0.197742
A00009107,Product 9107,Movies & TV,10,0.930372,0.196602
A00001326,Product 1326,Clothing,10,0.256639,0.196629
A00000617,Product 617,Music,10,0.565658,0.196838
A00004195,Product 4195,Books,10,0.359159,0.197188
A00001677,Product 1677,Music,10,0.746490,0.194140
A00001932,Product 1932,Electronics,10,0.465917,0.194563
A00002364,Product 2364,Movies & TV,10,0.427567,0.193076
A00007991,Product 7991,Movies & TV,10,0.850948,0.197036
A00004597,Product 4597,Books,10,0.745009,0.193907
A00007726,Product 7726,Movies & TV,10,0.870785,0.195690
A00003888,Product 3888,Books,10,0.088392,0.198043
A00005770,Product 5770,Clothing,10,0.203976,0.193374
A00007577,Product 7577,Clothing,10,0.577403,0.194829
A00004888,Product 4888,Electronics,10,0.303231,0.197067
A00001588,Product 1588,Movies & TV,10,0.804214,0.193685
A00006899,Product 6899,Movies & TV,10,0.135091,0.196286
A00003790,Product 3790,Clothing,10,0.735965,0.196405
A00001194,Product 1194,Clothing,10,0.943943,0.195541
A00005812,Product 5812,Music,10,0.326329,0.197118
A00001966,Product 1966,Books,10,0.144168,0.196796
A00003134,Product 3134,Books,10,0.503888,0.194348
A00004205,Product 4205,Electronics,10,0.914015,0.198949
A00006690,Product 6690,Music,10,0.451927,0.195967
A00005056,Product 5056,Music,10,0.840101,0.195947
A00007161,Product 7161,Electronics,10,0.371500,0.195232
A00000561,Product 561,Clothing,10,0.056798,0.191508
A00009716,Product 9716,Movies & TV,10,0.322911,0.195224
A00007426,Product 7426,Electronics,10,0.421924,0.197359
A00007173,Product 7173,Electronics,10,0.296746,0.194057
A00006677,Product 6677,Music,10,0.947004,0.197953
A00009866,Product 9866,Music,10,0.789302,0.192744
A00001239,Product 1239,Electronics,10,0.151987,0.196773
A00008032,Product 8032,Electronics,10,0.864894,0.198149
A00000011,Product 11,Electronics,10,0.503795,0.198957
A00005545,Product 5545,Movies & TV,10,0.809526,0.192200
A00006724,Product 6724,Clothing,10,0.888607,0.193884
A00002334,Product 2334,Clothing,10,0.721270,0.190923
A00002353,Product 2353,Music,9,0.116331,0.190690
A00001375,Product 1375,Books,9,0.361736,0.195407
A00003307,Product 3307,Books,9,0.018943,0.196866
A00001549,Product 1549,Movies & TV,9,0.000903,0.195602
A00009542,Product 9542,Music,9,0.387005,0.191813
A00002795,Product 2795,Books,9,0.749564,0.191761
A00006011,Product 6011,Clothing,9,0.650319,0.194764
A00008141,Product 8141,Electronics,9,0.262204,0.195297
A00002045,Product 2045,Movies & TV,9,0.896281,0.189425
A00006199,Product 6199,Clothing,9,0.706580,0.194760
A00000556,Product 556,Electronics,9,0.944265,0.194333
A00007347,Product 7347,Music,9,0.097678,0.191368
A00006910,Product 6910,Music,9,0.427298,0.193734
A00006892,Product 6892,Books,9,0.851097,0.188963
A00004594,Product 4594,Movies & TV,9,0.041450,0.193663
A00008695,Product 8695,Music,9,0.922907,0.195083
A00005328,Product 5328,Clothing,9,0.841287,0.189666
A00007582,Product 7582,Electronics,9,0.254000,0.192956
A00008392,Product 8392,Movies & TV,9,0.022504,0.192927
A00004175,Product 4175,Movies & TV,9,0.546056,0.193629
A00006394,Product 6394,Clothing,9,0.274866,0.191295
A00006144,Product 6144,Music,9,0.730496,0.194499
A00001134,Product 1134,Clothing,9,0.740613,0.193745
A00005519,Product 5519,Clothing,9,0.520071,0.194597
A00003422,Product 3422,Clothing,9,0.615781,0.194454
A00004043,Product 4043,Books,9,0.880238,0.194416
A00001157,Product 1157,Electronics,9,0.666302,0.193565
A00009927,Product 9927,Clothing,9,0.764328,0.197044
A00003915,Product 3915,Books,9,0.987172,0.193956
A00007875,Product 7875,Clothing,9,0.924864,0.195358
A00006210,Product 6210,Books,9,0.338353,0.194981
A00002475,Product 2475,Music,9,0.394302,0.182820
A00003638,Product 3638,Clothing,9,0.235501,0.192518
A00003230,Product 3230,Electronics,9,0.679384,0.196575
A00000295,Product 295,Music,9,0.860687,0.190945
A00000372,Product 372,Electronics,9,0.316433,0.195848
A00007561,Product 7561,Clothing,9,0.166786,0.192144
A00004643,Product 4643,Clothing,9,0.629848,0.191548
A00007521,Product 7521,Clothing,9,0.300016,0.192819
A00002785,Product 2785,Clothing,9,0.773815,0.198515
A00003990,Product 3990,Clothing,9,0.156312,0.191295
A00000186,Product 186,Electronics,9,0.556422,0.190897
A00002754,Product 2754,Clothing,9,0.511987,0.186848
A00001039,Product 1039,Books,9,0.701931,0.191039
A00007564,Product 7564,Music,9,0.155339,0.193012
A00000148,Product 148,Electronics,9,0.967510,0.193057
A00005445,Product 5445,Books,9,0.483345,0.195928
A00001011,Product 1011,Music,9,0.459544,0.194204
A00008706,Product 8706,Electronics,9,0.707160,0.192240
A00008076,Product 8076,Movies & TV,9,0.951943,0.194962
A00004187,Product 4187,Movies & TV,9,0.716524,0.194057
A00009373,Product 9373,Electronics,9,0.207357,0.193050
A00003860,Product 3860,Music,9,0.184213,0.194901
A00009379,Product 9379,Clothing,9,0.550006,0.191493
A00009528,Product 9528,Music,9,0.920839,0.191588
A00008018,Product 8018,Movies & TV,9,0.837754,0.194556
A00004371,Product 4371,Clothing,9,0.437701,0.189889
A00002078,Product 2078,Books,9,0.588102,0.195993
A00008153,Product 8153,Clothing,9,0.934725,0.198432
A00004818,Product 4818,Music,9,0.400266,0.189659
A00009459,Product 9459,Movies & TV,9,0.328515,0.191537
A00000500,Product 500,Books,9,0.142367,0.195790
A00000600,Product 600,Movies & TV,9,0.068914,0.192244
A00007190,Product 7190,Electronics,9,0.517542,0.192741
A00007747,Product 7747,Electronics,9,0.967393,0.189537
A00008301,Product 8301,Clothing,9,0.834186,0.192718
A00005997,Product 5997,Movies & TV,9,0.414080,0.194027
A00007889,Product 7889,Books,9,0.763809,0.193132
A00000925,Product 925,Clothing,9,0.964067,0.189742
A00001296,Product 1296,Books,9,0.827163,0.187037
A00003767,Product 3767,Electronics,9,0.446992,0.193012
A00009101,Product 9101,Clothing,9,0.503161,0.195618
A00005550,Product 5550,Clothing,9,0.465802,0.192793
A00007700,Product 7700,Electronics,9,0.012765,0.192292
A00000028,Product 28,Movies & TV,9,0.240446,0.195034
A00000603,Product 603,Books,9,0.384088,0.192318
A00002421,Product 2421,Books,9,0.432380,0.192600
A00003171,Product 3171,Movies & TV,9,0.773013,0.193128
A00002210,Product 2210,Music,9,0.609717,0.195011
A00005431,Product 5431,Music,9,0.543727,0.193843
A00001046,Product 1046,Clothing,9,0.431868,0.193419
A00000445,Product 445,Movies & TV,9,0.272851,0.190945
A00001237,Product 1237,Electronics,9,0.072540,0.192455
A00001910,Product 1910,Electronics,9,0.206997,0.192362
